id,download_count,gutenberg_id,media_type,title
420,326,419,Text,The Magic of Oz
421,418,420,Text,Dorothy and the Wizard in Oz
422,1386,421,Text,Kidnapped
423,12,422,Text,The Romany Rye
424,71,423,Text,Round the Red Lamp: Being Facts and Fancies of Medical Life
425,11,424,Text,"General William Booth Enters into Heaven, and Other Poems"
426,33,425,Text,Familiar Studies of Men and Books
427,47,426,Text,Tales and Fantasies
428,13,427,Text,The Great War Syndicate
429,15,428,Text,Frivolous Cupid
430,34,429,Text,"The Magic Egg, and Other Stories"
431,14,430,Text,The Grain of Dust: A Novel
432,12,431,Text,The Fortune Hunter
433,264,432,Text,The Ambassadors
434,11,433,Text,The Conflict
435,187,434,Text,The Circular Staircase
437,165,436,Text,The Master Key: An Electrical Fairy Tale Founded Upon the Mysteries of Electricity
438,147,437,Text,The Life of Lazarillo of Tormes: His Fortunes and Misfortunes as Told by Himself
439,20,438,Text,Underwoods
440,38,439,Text,The Vital Message
441,46,440,Text,Just David
442,30,441,Text,"New Poems, and Variant Readings"
443,44,442,Text,Love Songs
444,42,443,Text,The Love Affairs of a Bibliomaniac
445,87,444,Text,"System of Economical Contradictions; Or, The Philosophy of Misery"
446,444,445,Text,The Crowd: A Study of the Popular Mind
447,106,446,Text,A Book of Remarkable Criminals
448,632,447,Text,Maggie: A Girl of the Streets
449,112,448,Text,The Psychology of Revolution
450,141,449,Text,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology"
451,32,450,Text,Susan Lenox: Her Fall and Rise
452,187,451,Text,The Shadow Line: A Confession
453,24,452,Text,"Lavengro: The Scholar, the Gypsy, the Priest"
454,23,453,Text,Emma McChesney and Co.
455,9,454,Text,The Breitmann Ballads
456,17,455,Text,The University of Hard Knocks
457,290,456,Text,"The Door in the Wall, and Other Stories"
458,10,457,Text,The Price She Paid
459,14,458,Text,Dreams and Dust
460,41,459,Text,The White People
461,42,460,Text,The Dawn of a To-morrow
462,35,461,Text,The Quest of the Golden Girl: A Romance
463,59,462,Text,"The Errand Boy; Or, How Phil Brent Won Success"
464,97,463,Text,The Red Badge of Courage: An Episode of the American Civil War
465,130,464,Text,"In the South Seas: Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)"
